time,price
0,7000
1,7050
2,7050
3,7120
4,6980
5,6870
6,6830
7,6700
8,6600
9,6480
10,6520
11,6570
12,6460
13,6420
14,6450
15,6380
16,6370
17,6450
18,6400
19,6420
20,6510
21,6440
22,6430
23,6320
24,6260
25,6190
26,6290
27,6320
28,6220
29,6310
30,6380
31,6500
32,6510
33,6420
34,6470
35,6510
36,6540
37,6530
38,6430
39,6320
40,6400
41,6330
42,6430
43,6540
44,6660
45,6560
46,6540
47,6670
48,6560
49,6540
50,6410
51,6340
52,6270
53,6280
54,6270
55,6260
56,6270
57,6180
58,6100
59,6050
60,6150
61,6050
62,5940
63,6050
64,6090
65,6100
66,6190
67,6220
68,6260
69,6240
70,6220
71,6100
72,6030
73,5930
74,5930
75,5990
76,5880
77,5980
78,5920
79,5910
80,6000
81,5980
82,5970
83,6070
84,6190
85,6160
86,6160
87,6200
88,6200
89,6140
90,6150
91,6150
92,6140
93,6250
94,6200
95,6140
96,6250
97,6250
98,6320
99,6410
100,6440
